Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datadriven,Chrome 71.0.3578.98,,2019-02-03 12:11:18,2019-02-03 12:16:23,5m - 4.693s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-03 12:11:19,2019-02-03 12:16:22,5m - 3.067s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2019-02-03 12:11:20,2019-02-03 12:11:22,2.609s,ERROR
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-03 12:11:23,2019-02-03 12:12:00,36.728s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-03 12:12:00,2019-02-03 12:12:03,3.328s,PASSED
"for ([rowNum = 1, rowNum <= 5, (rowNum++)])",Chrome 71.0.3578.98,,2019-02-03 12:12:03,2019-02-03 12:16:19,4m - 16.058s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-02-03 12:16:19,2019-02-03 12:16:22,2.989s,PASSED
