Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testhook,Chrome 72.0.3626.121,,2019-03-17 12:31:43,2019-03-17 12:32:12,28.522s,FAILED
,,,,,,
Test Cases/TestListener,Chrome 72.0.3626.121,,2019-03-17 12:31:44,2019-03-17 12:32:12,27.650s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-17 12:31:44,2019-03-17 12:31:45,0.773s,ERROR
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-17 12:31:45,2019-03-17 12:32:00,14.278s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-17 12:32:00,2019-03-17 12:32:03,3.175s,PASSED
"click(findTestObject(""Nopcommerce/Products""))",Chrome 72.0.3626.121,,2019-03-17 12:32:03,2019-03-17 12:32:09,5.922s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-17 12:32:09,2019-03-17 12:32:12,3.087s,PASSED
