Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 19:59:58,2019-02-02 20:00:06,7.491s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 20:00:06,2019-02-02 20:01:32,1m - 26.166s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 20:00:06,2019-02-02 20:00:24,17.603s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 20:00:24,2019-02-02 20:00:27,3.173s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 20:00:27,2019-02-02 20:00:38,11.311s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 20:00:38,2019-02-02 20:00:47,8.618s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 20:00:47,2019-02-02 20:00:55,8.634s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 20:00:55,2019-02-02 20:01:07,11.281s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 20:01:07,2019-02-02 20:01:16,9.269s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 20:01:16,2019-02-02 20:01:26,10.328s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 20:01:26,2019-02-02 20:01:32,5.897s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 20:01:32,2019-02-02 20:02:46,1m - 13.782s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 20:01:32,2019-02-02 20:01:45,12.571s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 20:01:45,2019-02-02 20:01:48,3.168s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 20:01:48,2019-02-02 20:01:56,7.817s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 20:01:56,2019-02-02 20:02:04,8.553s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 20:02:04,2019-02-02 20:02:13,8.528s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 20:02:13,2019-02-02 20:02:22,9.566s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 20:02:22,2019-02-02 20:02:31,9.061s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 20:02:31,2019-02-02 20:02:40,9.103s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 20:02:40,2019-02-02 20:02:46,5.367s,PASSED
