Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datadriven,Chrome 71.0.3578.98,,2019-02-02 15:19:12,2019-02-02 15:24:14,5m - 2.388s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 15:19:13,2019-02-02 15:20:34,1m - 21.166s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 15:19:14,2019-02-02 15:19:30,16.629s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 15:19:30,2019-02-02 15:19:33,3.217s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 15:19:33,2019-02-02 15:19:43,9.331s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 15:19:43,2019-02-02 15:19:52,9.113s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 15:19:52,2019-02-02 15:20:00,8.527s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 15:20:00,2019-02-02 15:20:10,9.266s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 15:20:10,2019-02-02 15:20:19,9.037s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 15:20:19,2019-02-02 15:20:28,9.173s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 15:20:28,2019-02-02 15:20:34,5.849s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 15:20:34,2019-02-02 15:21:49,1m - 15.031s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 15:20:34,2019-02-02 15:20:49,15.250s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 15:20:49,2019-02-02 15:20:52,3.169s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 15:20:52,2019-02-02 15:20:57,4.918s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 15:20:57,2019-02-02 15:21:06,8.780s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 15:21:06,2019-02-02 15:21:15,8.945s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 15:21:15,2019-02-02 15:21:24,9.366s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 15:21:24,2019-02-02 15:21:33,9.212s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 15:21:33,2019-02-02 15:21:43,9.946s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 15:21:43,2019-02-02 15:21:49,5.363s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 15:21:49,2019-02-02 15:23:02,1m - 13.038s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 15:21:49,2019-02-02 15:22:01,11.750s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 15:22:01,2019-02-02 15:22:04,3.147s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 15:22:04,2019-02-02 15:22:10,6.392s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 15:22:10,2019-02-02 15:22:19,8.769s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 15:22:19,2019-02-02 15:22:28,8.849s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 15:22:28,2019-02-02 15:22:38,9.758s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 15:22:38,2019-02-02 15:22:47,9.082s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 15:22:47,2019-02-02 15:22:56,9.854s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 15:22:56,2019-02-02 15:23:02,5.388s,PASSED
,,,,,,
Test Cases/Datadriven,Chrome 71.0.3578.98,,2019-02-02 15:23:02,2019-02-02 15:24:11,1m - 9.431s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-02 15:23:02,2019-02-02 15:23:14,12.288s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-02 15:23:14,2019-02-02 15:23:17,3.142s,PASSED
"navigateToUrl(""https://accounts.google.com/signup"")",Chrome 71.0.3578.98,,2019-02-02 15:23:17,2019-02-02 15:23:22,4.844s,PASSED
"setText(findTestObject(""Datadriven_OR/FIrst name""), Firtsname)",Chrome 71.0.3578.98,,2019-02-02 15:23:22,2019-02-02 15:23:31,8.723s,PASSED
"setText(findTestObject(""Datadriven_OR/Last name""), Lastname)",Chrome 71.0.3578.98,,2019-02-02 15:23:31,2019-02-02 15:23:39,8.565s,PASSED
"setText(findTestObject(""Datadriven_OR/Username""), Username)",Chrome 71.0.3578.98,,2019-02-02 15:23:39,2019-02-02 15:23:48,8.996s,PASSED
"setText(findTestObject(""Datadriven_OR/Password""), Password)",Chrome 71.0.3578.98,,2019-02-02 15:23:48,2019-02-02 15:23:57,8.904s,PASSED
"setText(findTestObject(""Datadriven_OR/Confirm""), Confirm)",Chrome 71.0.3578.98,,2019-02-02 15:23:57,2019-02-02 15:24:06,9.025s,PASSED
"click(findTestObject(""Datadriven_OR/Next""))",Chrome 71.0.3578.98,,2019-02-02 15:24:06,2019-02-02 15:24:11,4.885s,PASSED
